         11020588 function calls (11019761 primitive calls) in 3.638 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      4/3    0.000    0.000    0.000    0.000 _regex_core.py:3829(_compile)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3768(SetSymDiff)
        4    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        7    0.000    0.000    0.000    0.000 _compiler.py:391(_mk_bitmap)
       53    0.000    0.000    0.000    0.000 _regex_core.py:4147(match)
      2/1    0.000    0.000    0.000    0.000 threading.py:975(start)
      127    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        2    0.000    0.000    0.000    0.000 typing.py:1485(copy_with)
        1    0.000    0.000    0.000    0.000 std.py:686(_decr_instances)
       97    0.000    0.000    0.000    0.000 _parser.py:176(append)
       90    0.000    0.000    0.000    0.000 <frozen os>:795(decode)
        2    0.000    0.000    0.000    0.000 _regex_core.py:2146(_split_common_prefix)
        1    0.000    0.000    0.000    0.000 enum.py:513(__prepare__)
        2    0.000    0.000    0.000    0.000 threading.py:884(__init__)
        2    0.000    0.000    0.000    0.000 threading.py:616(set)
        3    0.000    0.000    0.000    0.000 {built-in method regex._regex.compile}
       36    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
       43    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        2    0.000    0.000    0.000    0.000 _regex_core.py:2313(_reduce_to_set)
      153    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 _regex_core.py:1912(get_required_string)
      2/1    0.000    0.000    0.000    0.000 _regex_core.py:2419(max_width)
        2    0.000    0.000    0.000    0.000 typing.py:1269(__init__)
        8    0.000    0.000    0.000    0.000 _regex_core.py:511(apply_quantifier)
      5/4    0.000    0.000    0.000    0.000 _regex_core.py:3809(optimise)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        3    0.000    0.000    0.000    0.000 contextlib.py:272(contextmanager)
       11    0.000    0.000    0.000    0.000 _regex_core.py:1605(numeric_to_rational)
      374    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 _regex_core.py:2106(get_firstset)
     12/7    0.000    0.000    0.000    0.000 _regex_core.py:2420(<genexpr>)
       34    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
        8    0.000    0.000    0.000    0.000 _regex_core.py:2876(_compile)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       46    0.000    0.000    0.000    0.000 <frozen os>:732(__iter__)
        2    0.000    0.000    0.000    0.000 {function Random.seed at 0x7bac2e5de340}
      113    0.000    0.000    0.000    0.000 enum.py:117(_iter_bits_lsb)
        5    0.000    0.000    0.000    0.000 _regex_core.py:3589(max_width)
        1    0.000    0.000    0.000    0.000 gui.py:1(<module>)
       17    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
       12    0.000    0.000    0.000    0.000 std.py:153(__init__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
      153    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       21    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 tempfile.py:142(rng)
       17    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
       45    0.000    0.000    0.000    0.000 <frozen os>:791(encode)
        2    0.000    0.000    0.000    0.000 threading.py:424(notify_all)
       41    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       78    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        6    0.000    0.000    0.000    0.000 _regex_core.py:3469(get_firstset)
        1    0.000    0.000    0.000    0.000 traceback.py:679(TracebackException)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:501(_requires_builtin_wrapper)
        1    0.000    0.000    0.000    0.000 subprocess.py:749(Popen)
        3    0.000    0.000    0.000    0.000 _weakrefset.py:63(__iter__)
        1    0.000    0.000    0.000    0.000 _regex_core.py:946(parse_lookaround)
      112    0.000    0.000    0.000    0.000 _regex_core.py:1847(__init__)
      114    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        3    0.000    0.000    0.000    0.000 _regex_core.py:4215(__init__)
      106    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       26    0.000    0.000    0.000    0.000 _regex_core.py:1840(make_sequence)
      102    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        2    0.000    0.000    0.000    0.000 threading.py:394(notify)
